description,location,true_label,type
"El esport , els animals i la bona conversa.","Santa Perpètua de Mogoda, Espa",Cataluña,city
Una més. Visc entre trinxeres i és en elles on em sento còmode. Em diuen feminazi... i  arquitecta,"La Canya, la Garrotxa, PPCC",Cataluña,city
"Educador social des del 1618. Treballant al CRAE En Polzet. I com el conte del Polzet, també busco el meu camí ves a saber cap a on. Pare d'una Ona. El meu tot.",Vilafranca/Piera,Cataluña,city
"D'@esquerracamp, Senador Electe per Tarragona al @Senadoesp i afiliat a @ccoocatalunya i membre @indepesCCOO / @ERClaSelva",La Selva del Camp,Cataluña,city
"La cendra dels anys i els rebrots de la història
i la vida de la resistència.",Sant Boi de Llobregat,Cataluña,city
"“Totes les causes justes del món tenen els seus defensors. En canvi, Catalunya només ens té a nosaltres”. (Lluís Companys)",Santa Coloma de Gramenet,Cataluña,city
Sóc fill del poble que té les xiques com les palmeres de junt al mar........,Santa Pola,Comunidad Valenciana,city
"El Dimoni de Santa Eugènia de Ter (Gironès) era ""el periòdic-e q vol ser el pont informatiu dels veïns dels actuals barris d l'exmunicipi (1963) de Pla de Ter""",Santa Eugènia de Ter (Gironès),Cataluña,city
Informàtica a Oxfam Intermon. Mare de 2 jugadors de Hoquei Arenys de Mar,Arenys de Mar,Cataluña,city
Infermer de l'Àrea de Salut Mental de l'Hospital Sant Joan de Déu de Barcelona. M'agrada disfrutar dels petits plaers de la vida!,Sant Andreu de Llavaneres,Cataluña,city
"A #santacoloma hem començat a treballar gent diversa, per fer una Santa Coloma del canvi, transformadora, que aprofiti el cabdal immens de força de la seva gent",Santa Coloma de Gramenet,Cataluña,city
"En construcció de mestra. 
Bevent birra i escrivint. Cuina i drames.
🌻","Xàbia, també València",Comunidad Valenciana,city
"Casal Independentista de Sant Andreu El Noi Baliarda. Construint espai, construint projecte! C/Ramon Batlle, 57","Sant Andreu de Palomar, PPCC",Cataluña,city
"Diplomat en Ciències Empresarials, vaig està treballant a “La Caixa, actualment treballo a Mafonsa!! m'apassiona el F.C.B.!!",Santa Coloma de Farners,Cataluña,city
"Santfeliuenc. Portaveu del Cercle Esport 🏃‍♂️🏃‍♀️Runner.
Militant de @Podem_cat Candidat de @Podemetstu.❤️💛💜",Sant Feliu de LLobregat,Cataluña,city
"Fins els ovaris!!!!!!!! A que esperem?? Jo tinc pressa. ||*||
#FemXarxa",Vilassar de mar,Cataluña,city
"La docència i la música són el meu dia a dia. Català, republicà i culer. La meva lluita és gaudir del dia a dia. Enamorat del meu petit país.",Canet de Mar,Cataluña,city
"Lluny del meu pais, pero sempre amb ell, VISCA CATALUNYA LLIURE ||*||",Vall de Llémena (Giirona),Cataluña,city
Benvinguts al nou twitter del PSPV-PSOE de la comarca de la Vall d'Albaida,La Vall d'Albaida,Comunidad Valenciana,city
"Parlem de Sant Just i dels nostres veïn@s, de Catalunya i la nostra llibertat. Junts fem República. Perfil oficial de JuntsperCatalunya i PDeCAT a #SantJust🔔",Sant Just Desvern,Cataluña,city
"barceloní de naixament,canetenc de cor,empurdanés d'adopció,lampista de professió,pare de sentiment,apassionat per impuls,culé de cuna,indepe per convicció",Figueres / Canet de Mar (CAT),Cataluña,city
De tant en tant m'agrada creuar el @PontdeMahoma /http://www.tarragonaradio.cat/elpontdemahoma/ també el de l'Aneto,Altafulla,Cataluña,city
Tota la informació i notícies de Sant Adrià de Besòs. Edició en paper i web.,Sant Adrià de Besòs,Cataluña,city
Benvingut/da al canal oficial de Twitter de l'Ajuntament de Canet de Mar. Segueix-nos per estar al dia de tot el que passa al municipi.,Canet de Mar (Maresme),Cataluña,city
La política és com unes ulleres bifocals: cal la tàctica de la @cuparenysdemar i l'estratègia de @poble_lliure. Tot per declarar la independència!,"Arenys de Mar, Països Catalans",Cataluña,city
"Bombers👨🏻‍🚒 i Bomberes👩🏻‍🚒 Voluntaris Generalitat de Catalunya 
⚠🔥🚨🚒💨",La Garriga,Cataluña,city
No m'agraden les xarxes socials!,"Esplugues de Llobregat, CAT",Cataluña,city
"Socarrat de Xàtiva. Frikisme, fútbol, música, política i videojocs.","Xàtiva, València",Comunidad Valenciana,city
Compte oficial de l'Ajuntament de Torres de Segre (Segrià),Torres de Segre,Cataluña,city
"Economista,  Professor en diferents ambits, ex moltes coses i ara aprenent a ser empresari i hoteler",la Garriga,Cataluña,city
"Entre muntanyes, música i creativitat! #Marketing i #comunicació | #esport i #natura",Sant Pere de Torelló,Cataluña,city
Busques feina? Cerques treballadors per la teva empresa?  Truca'ns al 972 26 78 12,La Garrotxa,Cataluña,city
Representant territorial de l'Esport a les Terres de l'Ebre. Regidora Ajuntament de Tortosa. Professora Universitat Rovira i Virgili. EUSES. URV,Tortosa. Terres de l'Ebre,Cataluña,city
"Twitter oficial d'ERC Sant Sadurní d'Anoia. 
Amb tu #SomFutur",Sant Sadurní d'Anoia,Cataluña,city
"Instagram http://instagram.com/andreugg Esportista enamorat de la muntanya, la fotografia i la Meteo. Adm Sis Informàtics
Creador de http://www.meteomolins.cat",Molins de Rei,Cataluña,city
De tarannà liberal i políticament independent que no neutral entre altres coses he fet d'advocat i estic retirat. Col·laboro habitualment amb @capitalemporda,La Bisbal d'Empordà,Cataluña,city
Agrupació del Partit dels Socialistes de Catalunya a Santa Coloma de Gramenet,Santa Coloma de Gramenet,Cataluña,city
"Regidora de Ciutat Educadora, Cooperació, Solidaritat i Pau, portaveu de Sant Boi en Comú a l'Ajuntament de Sant Boi. Alegre per naturalesa.",Sant Boi de Llobregat,Cataluña,city
"Centre de Serveis a l'Empresa i l'Emprenedoria. Viver d'empreses.                          
Camí de can Gavarra, 2
Tel. 93 728 11 10
cangavarra@ajpolinya.cat",Polinyà (Polígon de Llevant),Islas Baleares,city
"La veritat sols te dos camins...caure a l'oblit del que no la vol saber o fer front a les pors i abanderar-la davant els que no volen saber.
SMT","Carcaixent, València ",Comunidad Valenciana,city
"Uns avis de La Cerdanya i els altres d'Osona, soc fill del Poble Sec, com mon pare. M'agrada l'Agility, el pastoreig i el Bonsai. 
El 2029 diuque serem lliures!","Sta Agnès de Malanyanes, V. Or",Cataluña,city
"Professor Lector a @universitatURV. Músic de temps lliure. Citat pel New York Times, trolejat per la concertada. Vaig ser famós a twitter per un TT.",Igualada,Cataluña,city
"soc Susanna, he perdut l'accés al meu twitter, així q qui no te memòria i un correu desactivat despres de mil anys de no fer-lo servir, ha de fer un nou twitter",Terres de l'Ebre,Cataluña,city
Primaria (EGB) - Escola Lavínia Secundària - FP- Arts Gràfiques - l'Escola del Treball de Bcn Treballo a l'Ins. Escola del Treball de BCN,Torrelles de Llobregat,Cataluña,city
"Assemblea Comarcal. 
Apropem la visió i la missió del nostre Moviment a un entorn singular com és la #Muntanya i els Portals de #Montserrat.",Muntanya de Montserrat,Cataluña,city
"Centre Empresarial i Tecnològic de l'Alt Pirineu, una infrastructura equipada amb tecnologies de la informació i comunicació.",La Seu d'Urgell,Cataluña,city
"Informació meteorològica i astronòmica de la vila del Maresme, en viu! Notícies sobre ciència, salut i medi ambient!",Arenys de Munt,Cataluña,city
Twitter Oficial de l'Il·lustre Col·legi d'Advocats de Terrassa. Al servei i en defensa dels nostres col·legiats i dels ciutadans.,#Terrassa - #Rubí (#Barcelona),Cataluña,city
Servei Local de Català de Sant Andreu de la Barca · Centre de Normalització Lingüística Ca n'Ametller · Consorci per a la Normalització Lingüística,Sant Andreu de la Barca,Cataluña,city
Estudiant de Periodisme a la @UABBarcelona. Escric a la revista @el_855 i parlo al @Generacio7 de @7deRadio. Interessat en la política.,Sant Quirze de Besora,Cataluña,city
Perfil oficial de Ràdio la Selva. Escolta'ns al 105.8 FM. També som a http://fb.com/radiolaselva. Comenta amb #radiolaselva C/ de Tarragona 10 (Selva del Camp),la Selva del Camp,Cataluña,city
"Gestoria, assessoria legal, advocats, declaració de la renda, compta amb nosaltres!😀",Santa Perpètua de Mogoda,Cataluña,city
"Teatre musical per a tots els públics (sí, per a tu també!)",La Valldigna,Comunidad Valenciana,city
"català, culer i boletaire. enyoro Vallcebre i jugar a la botifarra els dissabtes a la tarda. The bròquil is over!",Caldes de Montbui,Cataluña,city
"Dóna'm la mà que anirem per la riba
ben a la vora del mar bategant,
tindrem la mida de totes les coses
només en dir-nos que ens seguim amant. (JSP)",Benimaclet València,Comunidad Valenciana,city
||*|| L'avia em va ensenyar:lluita per la teva llibertat. Indepe des de ús de raó. Els ideals no es dobleguen. Seguim!,"St. Andreu de Llavaneres, Cat.",Cataluña,city
Podrem canviar el final d'aquesta pel·lícula i viure en una societat més justa? Aficionat a les distraccions de la vida social......,Rocafort - València,Comunidad Valenciana,city
Perfil oficial de l'EMD de Sant Miquel de Balenyà #SMBalenyà #Osona,Sant Miquel de Balenyà,Cataluña,city
Mestre de primària jubilat! Faller. Enamorat de Laval (França) #irphestafa. #caixabank,Daimús (València),Comunidad Valenciana,city
Estudiant de Grau en Enginyeria en Tecnologies Industrials a la UPV | Futura Enginyera Industrial | Feminista | Valencianista dels peus a la peineta |,Benifaió (València),Comunidad Valenciana,city
Enginyer Informàtic dedicat a la docència universitària,Sabadel,Cataluña,city
"Estudiant de Medicina en la UV. Amb ganes de descobrir, riure, somiar i viure!",Ontinyent - València,Comunidad Valenciana,city
Societat Musical L'Artística Manisense. Des de 1968 treballant per la música i la cultura a #Manises.,Manises (València),Comunidad Valenciana,city
T'equivoques d'uniforme i dispares a qui més estimes; t'equivoques de remei i va i s'infecta la ferida,Montroi (València),Comunidad Valenciana,city
"Aprenentatges i ensenyaments. Espais i memòria. 
«Volgueren soterrar-nos, però som llavors»","Marítim (València, l'Horta)",Comunidad Valenciana,city
Junta Comarcal del Baix Llobregat del @combarcelona Representa la professió i és garant de la bona praxi davant la ciutadania,Baix Llobregat,Cataluña,city
Amb força i il·lusió seguim apostant per la literatura i l'educació després de més de 32 anys de trajectòria i vora 5.000 títols publicats.,Alzira,Comunidad Valenciana,city
La televisió de les Terres de l'Ebre. ▶️ Informa't i mira els últims programes.,"Carrer Bisbe Serra, 6. Tortosa",Cataluña,city
"Empordanesa, inquieta, imperfecte, amb ganes de conèixer món 🌍. Terapeuta Ocupacional i Fisioterapeuta 🖐 Rehabilitació a domicili🏠 i teràpia aquàtica💧",Vulpellac,Cataluña,city
"Advocat i Activista pels Drets Humans i impulsor del despatx ESPAI HUMANA, especialitzat en la Defensa dels Drets de les Persones",Terrassa,Cataluña,city
Twitter oficial del grup municipal d’Esquerra d'Amposta,Amposta,Cataluña,city
Grup cooperatiu que treballa per enfortir l'#Economia #Solidària. Som 17 entitats i creiem que la nostra suma multiplica.,"Casp, 43 / Bailèn, 5",Andalucía,city
"xappat = tancat, tancat per l’estat espanyol i tots aquells que no volen  que el poble Català pugui exercir el dret a VOTAR! Agafa el teu Jo2Sí!",Baix Empordà,Cataluña,city
Els meus somnis són més llargs que les vostres nits,Montbrió de la Marca,Cataluña,city
Doble llicenciatura Dret (UPF) + ITM (UOC) Màster Crim.Propietat intel.lectual i industrial© Col·laboro a La Tornada📰🎤 🎶Sense música la vida seria un error🎶,Bellpuig - BCN,Cataluña,city
"Mare de l'Arnau i de la Bruna (👩‍👧‍👦😍😍) ambientòloga 🌏🦋🌊, curiosa 🔬, seguint creixent aprofitant els aprenentatges que ens porta la vida.",Osona,Cataluña,city
"Ens veiem al carrer, donant suport a les que lluiten! ✊💜","Alcanar-BCN, Països Catalans",Cataluña,city
"Del Pallars, estudiant d’Educació Primària, monitora de lleure, feminista, vegana, amant de la natura, dels animals i enamorada del planeta 🌍","Tremp, Pallars Jussà",Cataluña,city
"Som la televisió de la Catalunya Central amb tota la informació, programes i reportatges sobre les seves ciutats i comarques. Formem part del Grup Taelus.","Bages, Berguedà i Solsonès",Cataluña,city
"Infermera, ara dedicada gestió AP, mare i gaudint de cada segon de la vida",Amposta,Cataluña,city
Fòssils marins | Vida Burgesa ⏰ De dimarts a divendres 10h - 14h / dissabte 11h - 14h i de 16h - 18h / diumenge i festius 11h - 14h ➕INFO https://t.co/o820ippGs4,"Alcover, Alt Camp",Cataluña,city
Som 24 @EscolesFEDAC arreu de Catalunya.,Monistrol de Montserrat,Cataluña,city
treballador d' empresa química,Sant Sadurni d'Anoia(PPCC),Cataluña,city
Escopiu a la closca pelada dels cretins.,Sant Feliu de Llobregat,Cataluña,city
"De la terra ferma ponentina, de la dona, de @plaovi5 i de @pagesosGPS 
fa anys q vaig fer un curs de mecanografia",algerri,Cataluña,city
"Del 1971, amb un fill i una filla. Químic_Informàtic_Administratiu     President AMPA DP @ConsellxRep",#Mataró #RepúblicaCatalana,Cataluña,city
"Independentista, socialista i barcelonista. Regidor de la @cupstsadurni #JoSócCDR

Soci 66.382

~~ Estima el Barça, odia el nunyisme ~~",St. Sadurní - Països Catalans,Cataluña,city
"Catalá, Radical Lliure","Vilafranca del Penedes, CAT",Cataluña,city
Ex Penya OFICIAL de la @UELlagostera💙❤ Equip de #2BG3 (encara el seguim). També seguim a ex jugadors del club i al @GironaFC🔴⚪ Equip de #2aA!👏 #OrgullGironí❤,L'Escàndol (Llagostera).,Cataluña,city
"Restaurant del xef Vicent Guimerà, ""Cuiner de l'Any 2016."" Estrella Michelin 2017. Cuina de mercat, creativa i proximitat. #SlowFood http://www.anticmoli.com",Ulldecona,Cataluña,city
"Twiter oficial de la campanya de l'Ajuntament de Terrassa per al foment de la recollida selectiva a la ciutat: Reciclar bé, té recompensa",Terrassa,Cataluña,city
L'emissora musical i informativa de les Terres de l'Ebre. Escolta-la a 103.9 FM o a la web.,Tortosa,Cataluña,city
"Perfil oficial de l’Ajuntament d’Olot. El dia a dia a la ciutat, en piulades. #100olot",Olot,Cataluña,city
"Ciutadà de la República de Catalunya.
Afiliat al Consell de la República","Avinyonet del Penedes, Cat.",Cataluña,city
"Gestor cultural, llicenciat en Humanitats, especialitzat en religiositat i devocions populars",Manlleu,Cataluña,city
Estudiant de Geografia UB. Boig per la meteorologia i el mar. Navegant. 🌎🌍🌏⚡🌱    Part de @totmesnet,l'Estartit,Cataluña,city
La tradició dels oprimits ens ensenya que l'estat d'excepció és en realitat la regla. Estudiant sociologia i a vegades punxant a @pdredroots,"Premià, PPCC. ",Cataluña,city
Si els fills de puta volessin no veuríem mai el sol (Quico Pi de la Serra). Regidor per @PrimariesCat a #Alcoletge.,Ponent,Cataluña,city
"Comunicació i periodisme audiovisual.

Universitat De Lleida

No hi ha res tant estable com el canvi.",Vinaròs,Comunidad Valenciana,city
"Ràdio Tàrrega és una emissora municipal amb informació local i comarcal, magazins, fòrmula musical i especialitzada. radio@tarrega.cat",Tàrrega,Cataluña,city
"Sabadell, 2 de febrer del 1963. Periodista i escriptor. Alcalde de Calaf",La Guàrdia Pilosa,Cataluña,city
"👣 Fent camí🎗️
Apunts sobre llengua, ensenyament, cultura...Treballo al CPNL.Ara, regidora de Cultura,Educació,Patrimoni i Arxiu @ajmalgrat @JxCatMalgrat","de Malgrat, del Maresme, de...",Cataluña,city
"El somni de la raó
produeix monstres.

Picapedrer i altres vicis. 
Locutor, actor i narrador. 
En clau de Fa4, millor. 
Esclau de @Corinthiamar .",Sant Just Desvern,Cataluña,city
Dibuixant de tebeus amb tendència a explicar coses.,Vilassar by the Sea,Cataluña,city
Opinions personals. Treballant x un futur millor per als que estimo!🎗 Regidora a #Matadepera @JxMatadepera @pdemocratacat @CridaNacional @ConsellxRep,Matadepera,Cataluña,city
"De la Central, vivint a Girona.
No m'agraden les olives.","Calders, Països Catalans",Cataluña,city
Programa esportiu degà del Baix Gaià. Escolta'ns de dilluns a divendres a les 13.30h. Redifusió: de dilluns a divendres (15.30h i 20.30h) a @AltafullaRadio.,"Altafulla, Baix Gaià",Cataluña,city
"Infermera. Portaveu del @joventBLL. Feminista, d'esquerres i paparra amb orgull @APLaPaparra. Construïnt al @joventSJD.","Sant Joan Despí, PPCC",Cataluña,city
"Twitter oficial de l'Ajuntament d'Aiguamúrcia (Alt Camp).
📍 Plaça de Sant Bernat, 1
☎️977 63 85 76
🕢 De 10.00h a 14.00, de dilluns a divendres",Aiguamúrcia,Cataluña,city
"Músic, percussionista,enginyer informàtic, bateria de @LOstiaDS, Desenvolupador a @SandBloomStudio Diable de Terrassa, Jèvit i Nintendiano. Visc tancat al WC!",Terrassa,Cataluña,city
La Biblioteca Aigüestoses de Sant Andreu de la Barca és a l'avinguda constitució 24. Telèfon 93 682 40 00,Sant Andreu de la Barca,Cataluña,city
"Català, de Centre, maresmenc i sobre tot marit i pare",Pineda de Mar,Cataluña,city
"Aficionat a la muntanya, a la fotografia i en especial a l´esqui de fons.",Martorell,Cataluña,city
Paer en cap de la ciutat de Balaguer,Balaguer,Cataluña,city
"Comunista de naixement. Electricista de professió, i actualment alcalde de l’ajuntament de Sentmenat per decisió del poble.",Sentmenat,Cataluña,city
"Ciutada d aquest mon , que viu amb un pais molt petit. El que no desitges per tu no ho desitges per els altres",Sant Celoni,Cataluña,city
"Amic/Amat. 
D'esquerres, culer, gai i xarnego...
Mort als que se l'agafen amb paper de fumar!

Per feina, busqueu-me a @canbachs","Sant Pere de Vilamajor, Espany",Cataluña,city
"ERC d'Altafulla i L'EINA. Amb 5 regidors a @ajAltafulla: @jordimolinera, @albamuntadas, @danifranques, @gemmamaymo i @alexaltf. Som el #GovernRepublicàiDelCanvi","Altafulla, Baix Gaià, PPCC.",Cataluña,city
"Ex-SN de l'ANC, 'Telecos' lluitant en tot moment per un país millor, encara que a alguns no els agradi que ho faci. Òmnium, Es Viver, El Casal, #JoSocCDR","Blanes, República Catalana",Cataluña,city
Perfil del Departament de Comunicació de l'Ajuntament d'Abrera,Abrera,Cataluña,city
"Per baix Matamala! Visca l'escola Austriaca, Austria va Austria ve! i un dia vaig fer clic...",Horta d'Avinyo,Cataluña,city
Compte oficial de Twitter de l'Ajuntament del Catllar,El Catllar (Tarragonès),Cataluña,city
"Som ONG . Fomentem el debat i la construcció d'espais creatius i d'intercanvi encaminats a millorar el nostre entorn de manera sostenible, solidària i en #bici",Torrent. València.,Comunidad Valenciana,city
"Llicenciat en Ciències Químiques. Professor a l'IES Broch i Llop de Vila-real. 
Escriptor.",Vila-real,Comunidad Valenciana,city
i jo que hi vols que hi faci rei? 😩,Manacor,Islas Baleares,city
"lo millor que he fet en la vida, el meu fill.",Vila-real,Comunidad Valenciana,city
Diputada d’ ERC al congrés per Lleida i regidora a l’Ajuntament de Bellpuig. Des de Ponent a Madrid a lluitar per la llibertat i la independència de Catalunya,republica catalana,Cataluña,city
"🎓 Bioquímica i Ciències Biomèdiques a la UV
🦇Valencianista de naixement⚪⚫
🧡","Alfafar,Valencia",Comunidad Valenciana,city
"Pare de qui es l'escut que tè un rat penat,
fill meu es l'escut del equip que ens ha fet volar alt",Regne de València,Comunidad Valenciana,city
"Solidaritat per resistir, unió per lluitar.",Balears,Islas Baleares,city
"Autor llibre ""Una Postura Davant  la vida"". 
Professor de Ioga.
Cantautor a  l'EnCant de les Fades (@EnCantFades)  #Vegan",#Catalunya,Cataluña,city
"Qui dia passa any empeny. Calma i tranquil·litat, no ens poséssim neguitosos companys.",Sant Esteve de les Roures,Cataluña,city
"Processant i en estat d'ocupació contínua des del 1714. O abans. #CrisiHumanitaria. Si no era prou evident, tot això és una PARÒDIA.","Ciutat Comtal, Principat de Ca",Cataluña,city
Enamorat de Catalunya. Passió per la radio. Pateixo d'al'lergia a la Monarquia.,Sant Esteve de les Roures,Cataluña,city
"Entusiasta de la vida,el respecte i la tolerància. Vull una Catalunya independient i lliure. Donec Perficiam #femxarxa",Sant Esteve de les Roures,Cataluña,city
"No dic el que penso, però penso tot el que dic / Soci i abonat del @FCBarcelona_cat / Castells a @marrecs i país a @omnium / Hilarienc, Gironí, Culer i Català.",Sant Esteve de les Roures,Cataluña,city
"Català adoctrinat. Marit de la Mireia.
Alpinista i ciclista de l’equip TrialeruS Bramasacs cadí Endurance.",Sant esteve de les roures,Cataluña,city
Entreu quan vulgueu. La porta sempre està oberta. He perdut les claus.,Sant Esteve de les Roures (IJ),Cataluña,city
"Per la Llibertat, la Democràcia i la República. El Nord ni oblida ni perdona. #JoSócCDR","Sant Esteve de les Roures, Cat",Cataluña,city
Un espai feminista de reflexió i acció,Santa Coloma de Gramenet,Cataluña,city
"Canal oficial de l'Ajuntament d'#Esplugues de Llobregat. Atenem consultes. Per a urgències a la via pública, truqueu al 092 les 24h/7dies a la setmana.",Esplugues de Llobregat,Cataluña,city
No deixis per demà el que pots fer avui!!🎗🎗,Sant Esteve de les Roures.,Cataluña,city
"La Mort és tan sols la sort amb una lletra canviada.
http://spanishpolice.github.io",Sant Esteve De Les Roures,Cataluña,city
"1 grapat tossuderia + una mica de torracollons + ganes de riure. Coure-ho tot junt i quan estigui fregida, espolvorejar amb cinisme. Servir calent i que no et p",Sant Esteve de les Roures. Cat,Cataluña,city
"Creactivista. Artistejo. No tinc smartphone. Coordino el cicle ""Un espia a la butxaca"" @ Casa de Cultura de Girona. Igual que Miss World, vull la pau del món...",La Garrotxa,Cataluña,city
Irreductibles. Units en la vida pel mateix sentiment groguet. Sempre junts i sempre endavant!,Vila-real,Comunidad Valenciana,city
"Fill adoptiu de Sant Esteve de les Roures i enamorat de les platges de Lleida. #SpainIsAFasciststate 
#FemXarxa",Sant Esteve de les Roures. Cat,Cataluña,city
"independentista , republica i demòcrata. Lluitare  cada dia fins l'últim alè, per la llibertat dels presos  polítics i exiliats #cridanacional #SomRepublica 🎗",Sant Esteve de les Roures,Cataluña,city
Administració de loteria número 1 de Sant Esteve de les Roures. Rourencs de naixement i súper fans de la República de Catalunya.,Sant Esteve de les Roures,Cataluña,city
Notícies i activitats a Vila-real. Segueix-nos també a: http://www.facebook.com/ajvila i subscriu-te al canal Youtube: http://www.youtube.com/ajuntamentvila,Vila-real,Comunidad Valenciana,city
"Soler i Sauret, SA. Canal d'informació i atenció a l’usuari (laborables de dilluns a divendres des de les 7h fins a les 18h).",Sant Feliu de Llobregat,Cataluña,city
"Des de 1979, 40 anys amb tu.",Arenys de Mar,Cataluña,city
Cinema de proximitat basat en el voluntariat i l'autogestió amb l'objectiu de defensar i promoure la diversitat cultural. Sant Feliu de Llobregat.,Sant Feliu de Llobregat,Cataluña,city
'No ens trepitjareu com a poble'' molts ànims,Sant Esteve De Les Roures,Cataluña,city
tanca els ulls si no veus el camí....,Sant Esteve de les Roures,Cataluña,city
"D'allà on el món s'explica en diminutiu 🏞
Graduada en Història (UV) 🌎🌍🌏
Opositora en procés d'aconseguir un somni 📚
Som(riu) 🍃 🌈",Serra (València),Comunidad Valenciana,city
Emprenedor. Amb ganes de fer coses. Que no falti empenta!,Sant Esteve de les Roures,Cataluña,city
"Jack's papi | colomenc | cultura, esports, solidaritat i cooperació @scgramenet | comunicació i xarxes socials @pscsantacoloma | voz @MrMonkCoverBand",Santa Coloma de Gramenet,Cataluña,city
"Club de Manga i Anime de Sant Esteve de les Roures. Projeccions de shônen, shôjo, hentai, yaoi. Jocs de rol en viu i online. Club de llectura. Aníma't, senpai!",Sant Esteve de les Roures,Cataluña,city
"terra, foc i aigua: enfangada tot l'any... una bona manera d'anar fent i fotent, tu!
🍶🌍🔥💧


http://consell.republicat.cat",Sant Esteve de les Roures,Cataluña,city
"Som la revolta en un sol crit, som el poble que construïm! #CapgiremSantAndreu santandreu.barcelona@cup.cat",Sant Andreu de Palomar,Cataluña,city
Esquerra Republicana+Acord Independentista té 6 regidors a l'ajuntament de #laGarriga per fer #laGarrigaMoltMés amb @Dolors_Castella Gràcies la Garriga!,La Garriga,Cataluña,city
"Bon noi, però tossuuut... deia la meva àvia. Enginyer. Implicat amb tot allò que em motiva. 🎹🍻🎿✉️ 🎗#RiveraQuitameEste","Sant Cugat del Vallès, CAT",Cataluña,city
"Colònies i altres merdes pels nens.
Hem vingut a fer jaleo, l'educació ens és igual.",Sant Esteve De Les Roures,Cataluña,city
"Mentre ella et llig, tu viatges pel seu cervell  (TIMOTEU)",la Garriga,Cataluña,city
"DESOBEÏM. DESOBEÏM. DESOBEÏM... fins l'infinit i més enllà.
#josócRoger
#josócCDR",Sant Esteve de les Roures,Cataluña,city
"Gavinet de videncia  a S. Esteve de les Roures. Soc e-vident amb les respostes a les teves preguntes... Si no... es que potser no hi guipo! 
La música em guía.",St Esteve De Les Roures,Cataluña,city
El meu país és tan petit que des de dalt d'un campanar sempre es pot veure un campanar veí,Sant Esteve de les Roures,Cataluña,city
"""El vell món es mor. El nou triga a aparèixer. I en aquest clarobscur, sorgeixen els monstres"". Antonio Gramsci. #JosócCDR",Sant Esteve de les Roures,Cataluña,city
"Membre ANC .Som-hi , vull envellir en un país lliure , la Republica de Catalunya",Tàrrega Republica Catalana,Cataluña,city
"Compte oficial del Consell Local per la República de Besalú, que treballa des de l’exili per fer efectiu el mandat de l’U d’Octubre.",República Catalana,Cataluña,city
Vaig començar a viure despús-ahir...,Alcoi-València-Món,Comunidad Valenciana,city
Fent sonar la dolçaina i el tabalet des de 1981.,València. Simat de Valldigna,Comunidad Valenciana,city
