comunidad autonoma,provincia,ciudad
Comunidad Valenciana,Alicante,Elda
Comunidad de Madrid,Madrid,Pinto
Principado de Asturias,Asturias,Siero
Cantabria,Cantabria,Torrelavega
Cataluña,Barcelona,Mollet del Vallés
Comunidad Valenciana,Castellón,Villarreal
Comunidad de Madrid,Madrid,Colmenar Viejo
Andalucía,Sevilla,Utrera
Islas Baleares,Islas Baleares,Calviá
Canarias,Santa Cruz de Tenerife,Granadilla de Abona
Ceuta,,
Melilla,,
Catalunya,,
Catalonia,,
Euskadi,,
Basque Country,,
